date,fund_name,amc,category,expense_ratio,nav,monthly_return
2017-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,28.5829,0.025445
2017-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,29.146,0.019703
2017-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,29.2834,0.004713
2017-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,30.0486,0.02613
2017-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.4149,0.078749
2017-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,31.9591,-0.014062
2017-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.192,0.007287
2017-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,31.3128,-0.027309
2017-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,31.7539,0.014085
2017-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.6808,0.029191
2018-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.8355,0.004735
2018-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.3218,-0.015645
2018-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,31.8588,-0.014327
2018-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.6843,0.025912
2018-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.5023,0.025028
2018-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.5733,0.031968
2018-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.8809,-0.020028
2018-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.0757,0.005751
2018-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.8596,0.023003
2018-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.4322,0.016426
2018-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,36.826,0.039337
2018-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.5686,0.020167
2019-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.5051,0.024928
2019-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.7355,0.005982
2019-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.6012,0.022348
2019-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,40.5146,0.023065
2019-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.0927,-0.035095
2019-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.9884,-0.002668
2019-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.3547,-0.016254
2019-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.1906,-0.004277
2019-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.7757,-0.010865
2019-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.9316,0.057071
2019-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.188,-0.018621
2019-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,41.0984,0.048751
2020-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.8853,-0.05385
2020-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,36.2672,-0.067329
2020-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,28.7314,-0.207786
2020-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.3936,0.127463
2020-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.9515,0.078964
2020-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.3983,0.070005
2020-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.2985,-0.002669
2020-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.3649,0.00178
2020-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.3045,0.051911
2020-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.9604,-0.008754
2020-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.7093,-0.032113
2020-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,36.8984,-0.021505
2021-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,36.1545,-0.02016
2021-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.4291,0.035255
2021-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.8008,0.00993
2021-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.6231,0.021755
2021-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.6858,0.001622
2021-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.3348,-0.009072
2021-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.2555,0.024017
2021-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.9346,0.017301
2021-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,40.8417,0.022715
2021-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,40.4386,-0.009872
2021-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.9965,-0.010932
2021-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,39.8327,-0.004094
2022-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.6103,-0.03069
2022-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.4475,-0.030117
2022-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.1233,-0.062064
2022-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.6462,-0.013584
2022-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.5648,0.026513
2022-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.9269,0.066417
2022-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.8207,0.023567
2022-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.4491,-0.009574
2022-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,37.9185,-0.013799
2022-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,38.2626,0.009074
2022-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,36.3673,-0.049533
2022-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.017,-0.037128
2023-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.1819,-0.052408
2023-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.2707,-0.02746
2023-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.1425,0.027016
2023-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.396,-0.022523
2023-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.0077,-0.011988
2023-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.8468,0.057458
2023-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.0089,0.00479
2023-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.9484,0.027625
2023-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.9968,-0.027227
2023-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.4004,0.01187
2023-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.4988,-0.026209
2023-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.3692,-0.00387
2024-01-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.0041,0.048994
2024-02-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.4359,-0.044799
2024-03-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.0324,0.017838
2024-04-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,34.0254,-0.000206
2024-05-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.6744,-0.010316
2024-06-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.3905,-0.038127
2024-07-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.5653,0.005398
2024-08-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.5276,-0.001158
2024-09-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,32.694,0.005115
2024-10-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,33.7518,0.032354
2024-11-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.3621,0.047711
2024-12-01,SBI Bluechip Fund,SBI Mutual Fund,Large Cap,1.48,35.3671,0.000142
2015-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,18.0,0.003885
2015-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,17.2697,-0.040574
2015-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,17.9091,0.037028
2015-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,18.515,0.03383
2015-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,17.6395,-0.047287
2015-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,16.3807,-0.071362
2015-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,16.7136,0.020323
2015-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,16.529,-0.011045
2015-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,16.7901,0.015797
2015-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,16.9197,0.007718
2015-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,17.6081,0.040687
2015-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,18.3291,0.040947
2016-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,18.7758,0.024373
2016-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,19.3566,0.03093
2016-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.0635,0.036523
2016-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,19.8644,-0.009927
2016-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.2803,0.02094
2016-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,19.9558,-0.016003
2016-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.8269,0.043654
2016-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.747,-0.003836
2016-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.393,-0.017064
2016-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,20.3755,-0.000859
2016-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,22.0277,0.081089
2016-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,21.8511,-0.008015
2017-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,21.8348,-0.000749
2017-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,21.3616,-0.021673
2017-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,21.8314,0.021995
2017-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,22.1697,0.015495
2017-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,22.3379,0.007587
2017-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,22.8793,0.024236
2017-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,25.2384,0.103114
2017-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,25.3145,0.003014
2017-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,24.8837,-0.017016
2017-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,24.9088,0.001006
2017-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,25.7933,0.035512
2017-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,27.8085,0.078129
2018-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,27.4149,-0.014155
2018-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,28.0738,0.024035
2018-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,27.4201,-0.023287
2018-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,27.8545,0.015843
2018-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,28.4393,0.020995
2018-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,29.6805,0.043643
2018-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,29.6454,-0.001182
2018-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,30.5474,0.030426
2018-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.254,0.023132
2018-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.2805,0.000847
2018-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.5191,0.039597
2018-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.9749,-0.016736
2019-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.665,0.021583
2019-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.3935,0.022302
2019-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.134,-0.00777
2019-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.4083,0.068639
2019-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.5333,-0.024711
2019-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.8748,-0.019069
2019-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.9925,0.003475
2019-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.8147,-0.00523
2019-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.7381,-0.002265
2019-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.2255,0.073726
2019-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.2885,-0.025867
2019-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.886,0.04527
2020-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.2777,-0.043602
2020-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.9604,-0.065689
2020-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,25.1896,-0.235761
2020-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,29.045,0.153056
2020-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.9332,0.099437
2020-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.8571,0.091564
2020-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.1567,-0.020093
2020-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.5491,-0.017789
2020-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.6985,0.064068
2020-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.6643,0.027053
2020-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.6431,-0.027852
2020-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.3933,-0.035063
2021-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.0237,-0.010746
2021-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.3592,0.039251
2021-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.1045,-0.007201
2021-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.4098,0.037183
2021-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.4664,-0.025911
2021-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.8117,0.009736
2021-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.0394,0.034281
2021-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.9748,0.025254
2021-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.8174,-0.004144
2021-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.1044,-0.018855
2021-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.3905,0.007712
2021-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.6447,0.006798
2022-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.878,-0.020365
2022-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.4427,-0.066038
2022-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.2531,-0.063572
2022-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.393,0.004337
2022-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.9523,0.048138
2022-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.0675,0.0623
2022-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.3494,0.03554
2022-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.7252,0.010063
2022-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.8054,-0.024381
2022-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.3815,0.015651
2022-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.848,-0.067774
2022-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.4674,-0.039617
2023-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.8384,-0.048674
2023-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.5882,-0.007858
2023-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.4119,0.026077
2023-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,32.6228,0.006504
2023-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,31.4291,-0.036591
2023-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,33.9166,0.079148
2023-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.2769,0.010624
2023-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.7271,0.042308
2023-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.0706,0.009614
2023-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.4158,-0.018154
2023-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.6753,-0.020908
2023-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.2671,0.017066
2024-01-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.0589,0.050806
2024-02-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.8969,-0.05834
2024-03-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.1706,0.036501
2024-04-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.6526,0.013325
2024-05-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,36.0614,-0.016129
2024-06-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,34.177,-0.052256
2024-07-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.1778,0.029282
2024-08-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,35.0385,-0.00396
2024-09-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,37.0397,0.057114
2024-10-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,39.5054,0.066571
2024-11-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,41.1692,0.042115
2024-12-01,HDFC Mid-Cap Opportunities Fund,HDFC Mutual Fund,Mid Cap,1.36,41.748,0.014059
2015-01-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,55.0,0.014635
2015-02-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,53.8801,-0.020362
2015-03-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,54.8566,0.018125
2015-04-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,56.5463,0.0308
2015-05-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,53.3092,-0.057246
2015-06-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,51.8077,-0.028165
2015-07-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,52.4193,0.011804
2015-08-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,52.3263,-0.001775
2015-09-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,53.8364,0.028859
2015-10-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,53.2988,-0.009986
2015-11-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,55.4436,0.040241
2015-12-01,ICICI Pru Value Discovery Fund,ICICI Prudential MF,Value,1.02,57.9491,0.04519
